complex_type,province,city,complex_name,development_status,sale_rate,resident_companies,active_companies
일반,광주,광산구,평동3차(1단계),완료,100.0,152,128
일반,광주,남구,광주에너지밸리,조성중,65.51,33,0
일반,광주,광산구,하남[재생사업지구:부분],완료,100.0,1092,1091
일반,광주,북구,광주연구개발특구첨단3지구(광주경제자유구역),조성중,0.0,7,0
도시첨단,광주,남구,남구,조성중,77.38,7,5
도시첨단,광주,북구,전남대캠퍼스혁신파크,미개발,0.0,0,0
농공,광주,광산구,소촌,완료,100.0,80,80
국가,대전,유성구,대덕연구개발특구,조성중,100.0,1863,1837
일반,대전,동구,하소친환경,완료,100.0,66,61
일반,대전,대덕구,대전산업단지[재생사업지구] (① + ② + ③),완료,100.0,1083,886
일반,대전,대덕구,대전제1 ①,완료,100.0,190,170
일반,대전,대덕구,대전제2 ②,완료,100.0,680,522
일반,대전,대덕구,대전(주변지역) ③,완료,100.0,213,194
일반,대전,서구,평촌,조성중,100.0,3,0
도시첨단,대전,대덕구,한남대캠퍼스혁신파크,미개발,0.0,0,0
도시첨단,대전,유성구,대전장대,미개발,0.0,0,0
국가,울산,남구,울산ㆍ미포,조성중,100.0,1112,741
국가,울산,울주군,온산,조성중,100.0,406,258
일반,울산,북구,매곡,완료,97.2,58,58
일반,울산,북구,모듈화,완료,100.0,32,30
일반,울산,북구,이화,조성중,100.0,1,1
일반,울산,북구,중산,조성중,100.0,19,19
일반,울산,울주군,길천,완료,91.71,98,87
일반,울산,울주군,신 (① + ②),완료,100.0,111,109
일반,울산,울주군,신 ①,완료,100.0,71,69
일반,울산,울주군,울산(자유무역) ②,완료,100.0,40,40
일반,울산,울주군,와지,완료,100.0,32,32
일반,울산,울주군,울산 High Tech Valley,조성중,100.0,19,18
일반,울산,울주군,봉계,완료,100.0,10,9
일반,울산,울주군,KCC울산,완료,95.68,50,41
일반,울산,울주군,전읍,완료,100.0,4,4
일반,울산,울주군,반천,완료,100.0,84,71
일반,울산,울주군,작동,조성중,100.0,0,0
일반,울산,북구,중산2차,완료,100.0,42,40
일반,울산,북구,매곡2,완료,100.0,12,11
일반,울산,북구,매곡3,완료,100.0,20,20
일반,울산,남구,울산테크노,완료,100.0,150,143
일반,울산,울주군,GW,완료,82.49,45,31
일반,울산,북구,모바일테크밸리,조성중,100.0,24,16
일반,울산,울주군,에너지융합,조성중,92.19,48,48
일반,울산,울주군,청양,미개발,0.0,0,0
일반,울산,울주군,머거본,미개발,0.0,0,0
일반,울산,울주군,울산도하일반산업단지,미개발,0.0,0,0
일반,울산,울주군,울산KTX역세권일반산업단지,미개발,0.0,0,0
일반,울산,울주군,대대일반산업단지,미개발,0.0,0,0
일반,울산,동구,자동차일반산업단지[구:남목],미개발,0.0,0,0
도시첨단,울산,중구,울산장현,미개발,0.0,0,0
농공,울산,북구,달천,완료,100.0,102,95
농공,울산,울주군,두동,완료,100.0,4,4
농공,울산,울주군,두서,완료,100.0,15,14
농공,울산,울주군,상북,완료,100.0,11,11
국가,세종,세종,세종스마트,미개발,0.0,0,0
일반,세종,세종,소정,완료,100.0,1,1
일반,세종,세종,월산,완료,100.0,0,0
일반,세종,세종,전의,완료,100.0,8,8
일반,세종,세종,전의2,완료,100.0,32,30
일반,세종,세종,조치원,완료,100.0,12,11
일반,세종,세종,명학,완료,100.0,37,36
일반,세종,세종,부강(구 부용),완료,100.0,11,11
일반,세종,세종,세종미래,완료,100.0,24,16
일반,세종,세종,세종스마트그린,조성중,98.87,0,0
일반,세종,세종,세종벤처밸리,미개발,0.0,0,0
일반,세종,세종,세종첨단,완료,100.0,25,24
일반,세종,세종,전동,조성중,53.66,0,0
일반,세종,세종,세종복합,미개발,0.0,0,0
도시첨단,세종,세종,행정중심복합도시4-2생활권,조성중,81.35,22,22
농공,세종,세종,부용,완료,100.0,1,1
농공,세종,세종,노장,완료,100.0,16,15
농공,세종,세종,응암,완료,100.0,5,4
농공,세종,세종,청송,완료,100.0,3,3
국가,경기,안산시,반월특수지역 (① + ② + ③ + ④),조성중,94.95,22158,21700
국가,경기,시흥시,시화 ①,조성중,100.0,11291,11163
국가,경기,시흥시,시화MTV ②,조성중,100.0,1372,1351
국가,경기,안산시,반월특수(안산신도시)[재생사업지구] ③,완료,100.0,9400,9186
국가,경기,화성시,송산그린시티 ④,조성중,14.99,95,0
국가,경기,파주시,파주출판,완료,100.0,835,834
국가,경기,파주시,파주탄현,완료,100.0,48,46
국가,경기,평택시,아산국가 (① + ② + ③),조성중,100.0,262,252
국가,경기,평택시,원정지구 ①,완료,100.0,0,0
국가,경기,평택시,포승지구 ②,완료,100.0,261,251
국가,경기,화성시,우정지구 ③,조성중,100.0,1,1
국가,경기,동두천시,동두천,조성중,100.0,0,0
국가,경기,용인시,용인첨단시스템반도체클러스터국가산업단지,미개발,0.0,0,0
일반,경기,김포시,김포항공,완료,100.0,8,8
일반,경기,김포시,상마,완료,100.0,37,37
일반,경기,김포시,양촌,완료,100.0,963,960
일반,경기,김포시,율생,완료,100.0,13,13
일반,경기,김포시,통진(팬택),완료,100.0,4,3
일반,경기,김포시,학운,완료,100.0,34,34
일반,경기,김포시,학운2,완료,100.0,126,122
일반,경기,동두천시,동두천,완료,100.0,54,54
일반,경기,동두천시,동두천2,완료,100.0,29,29
일반,경기,동두천시,상봉암,완료,100.0,7,7
일반,경기,부천시,오정,완료,100.0,103,103
일반,경기,성남시,성남[재생사업지구],완료,100.0,2871,2867
일반,경기,안산시,반월도금,완료,100.0,101,101
일반,경기,안성시,가율,완료,100.0,3,3
일반,경기,안성시,공도,완료,100.0,5,5
일반,경기,안성시,금산,완료,100.0,16,13
일반,경기,안성시,덕산,완료,100.0,12,12
일반,경기,안성시,동항,완료,100.0,15,13
일반,경기,안성시,두교,완료,100.0,9,8
일반,경기,안성시,미양2,완료,100.0,6,5
일반,경기,안성시,방초,완료,100.0,9,9
일반,경기,안성시,안성제1,완료,100.0,43,39
일반,경기,안성시,안성제2,완료,100.0,54,51
일반,경기,안성시,안성제3,완료,100.0,50,44
일반,경기,안성시,안성제4,완료,95.74,25,24
일반,경기,안성시,용월,완료,100.0,12,12
일반,경기,안성시,원곡,완료,100.0,6,6
일반,경기,안성시,장원1,완료,100.0,15,15
일반,경기,안성시,월정,완료,100.0,5,5
일반,경기,양주시,구암,완료,100.0,2,1
일반,경기,양주시,남면,완료,100.0,27,23
일반,경기,양주시,도하,완료,100.0,1,1
일반,경기,양주시,상수,완료,100.0,10,10
일반,경기,오산시,가장,완료,100.0,43,40
